epoch,capsnet_acc,capsnet_loss,decoder_loss,loss,val_capsnet_acc,val_capsnet_loss,val_decoder_loss,val_loss
0,0.8527452966229475,0.16068927389737045,0.48033293259113835,0.34897977947324305,0.9005096407593578,0.12729796193541748,0.27359306593540106,0.23454644057694174
1,0.9349563380079507,0.0787722351374368,0.2141905473753318,0.1627349277857106,0.9286505658333882,0.10004725133013348,0.13296751872302687,0.15217051731326378
2,0.9539736557574919,0.05822214593073532,0.09781337180378187,0.09656498647550339,0.9423886549768653,0.07225754076923284,0.06009547070656017,0.09581496468056946
3,0.9650732570187093,0.04597234957149497,0.04599040086975602,0.06400058600724634,0.9488145342798738,0.062496929597555304,0.03278871216977776,0.075350104631192
4,0.9720290089316916,0.03821143428318834,0.024353240346195598,0.04775790408925181,0.9499224454210731,0.055646197020771455,0.018785179575128035,0.06300998719047145
5,0.9772828205178365,0.031121503982532522,0.016078780650562157,0.03742438581930241,0.9570130743210157,0.04846688742192364,0.014778209546217296,0.054259945670464285
6,0.9827586234595025,0.025506020598863335,0.01287111497831619,0.030551497609474055,0.9508087740830934,0.0506040094635036,0.013889905093982734,0.05604885170785572
7,0.984756551957508,0.022039573666646103,0.011697294261922352,0.026624912897294968,0.9583425671489546,0.040244420370635546,0.01282384345302168,0.04527136699090995
8,0.9865324908377627,0.01970761126779495,0.011263916187555666,0.024123066248361448,0.953689342746443,0.04063738750397175,0.012553248794573145,0.045558260695865584
9,0.9906023428675442,0.015342732185608972,0.010906160709034529,0.019617947050164494,0.9578994010019376,0.04150294298727091,0.012449965908173731,0.04638332906467008
10,0.9915643075399185,0.012840391174437051,0.010619263143128561,0.017003142215993514,0.9601152216334209,0.037128702216356335,0.012023818283450166,0.04184203894620891
11,0.9931922487046779,0.01115601284935132,0.010402216873478613,0.015233681786719109,0.9570130736606496,0.03983047867298858,0.012474803086646759,0.044720601352167356
12,0.9944502033212754,0.009464202203094024,0.010245513194250967,0.013480443251653469,0.959672059382564,0.036766130835378975,0.011909899962966927,0.0414348118907551
13,0.9955601629657612,0.007976291092347387,0.010065248081482923,0.011921868200717249,0.9616662972046852,0.035547402273382815,0.011808371892805218,0.04017628429557838
14,0.9961521406489151,0.00635295664910449,0.009843791614205144,0.010211722828169125,0.96122313297273,0.03558791762385128,0.011663928549910498,0.04016017731317415
15,0.9972621009549887,0.005422074976380635,0.009692632740142123,0.009221586931048357,0.9641036981361393,0.03466459763634372,0.01166272023739159,0.039236384076635884
16,0.9972621005139303,0.004652018639985684,0.009511295417484971,0.008380446363537093,0.9625526252063393,0.03450666273630646,0.011636527202090253,0.03906818110833315
17,0.9982980625753274,0.003812014858952156,0.009372035879118014,0.007485852822613435,0.964546864811449,0.03496062519828213,0.011526272227397858,0.03947892394089159
18,0.9983720601584161,0.003544675207485147,0.009178221735574577,0.0071425380425278765,0.9621094616347502,0.03537803734548081,0.011338374942211765,0.03982268020930831
19,0.9985200544689399,0.0029110100387835557,0.009017508621557067,0.006445873340924512,0.9632173717193637,0.03441468639454164,0.011392456250357692,0.03888052910416819
20,0.9985200546894691,0.0026334624979127115,0.008912148528929595,0.006127024644182793,0.9645468632265705,0.03334093830745847,0.011139738430157007,0.037707715939653844
21,0.9987420464860488,0.002395210205887433,0.008777513182259609,0.005835995273841017,0.9636605346305868,0.033287118211524115,0.01116530581412735,0.03766391829983945
22,0.9991860298586788,0.0018455451056433043,0.008612965685846768,0.005221827586768759,0.9636605361494288,0.033669110552007116,0.011021343970678726,0.037989477423478246
23,0.9991120325931523,0.0018308791668124734,0.008488864232275337,0.005158513841918462,0.9618878786272784,0.034090826587935205,0.011007416823180547,0.03840573380712387
24,0.9992600273447346,0.001629326526200235,0.008360550378719273,0.004906662192280558,0.961666297402795,0.03442415991154885,0.01093558959864945,0.03871091095130761
25,0.9991120328136815,0.0015641376977600333,0.008239931081676246,0.004794190602206974,0.9645468630284606,0.03280641200029556,0.010919138301434662,0.03708671419179387
